#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-04-04T15:39:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ac4ee9a2255	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+AS/130/65&tab:{J/A+AS/130/65/lcb98cor}&key:source=J/A+AS/130/65/lcb98cor&HTTPPRM:&
#-source=J/A+AS/130/65/lcb98cor
#-order=I
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=U-B
#-out=B-V
#-out=V-R
#-out=V-I
#-out=V-K
#-out=R-I
#-out=J-H
#-out=H-K
#-out=J-K
#

#RESOURCE=yCat_41300065
#Name: J/A+AS/130/65
#Title: A standard stellar library. II. (Lejeune+ 1998)
#Table	J_A_AS_130_65_lcb98cor:
#Name: J/A+AS/130/65/lcb98cor
#Title: All files lcb98*.cor: Synthetic colors from corrected Stellar Energy Distributions (SEDS)
#Column	Teff	(F6)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F6.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F4.1)	Metallicity	[ucd=phys.abund.Fe]
#Column	U-B	(F7.3)	(U-B) colour (energy-weighted)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F7.3)	(B-V) colour (energy-weighted)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F7.3)	(V-R) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F7.3)	(V-I) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	V-K	(F7.3)	(V-K) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	R-I	(F7.3)	(R-I) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	J-H	(F7.3)	(J-H) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.H]
#Column	H-K	(F7.3)	(H-K) colour (energy-weighted)	[ucd=phot.color;em.IR.H;em.IR.K]
#Column	J-K	(F7.3)	(J-K) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.K]
Teff;logg;[Fe/H];U-B;B-V;V-R;V-I;V-K;R-I;J-H;H-K;J-K
 21000;  3.00;-4.0; -0.845; -0.217; -0.093; -0.202; -0.655; -0.109; -0.082; -0.076; -0.158
 21000;  3.50;-4.0; -0.807; -0.217; -0.097; -0.208; -0.657; -0.111; -0.083; -0.075; -0.158
 21000;  4.00;-4.0; -0.782; -0.213; -0.099; -0.210; -0.659; -0.111; -0.084; -0.073; -0.158
 21000;  4.50;-4.0; -0.765; -0.205; -0.101; -0.213; -0.662; -0.112; -0.085; -0.073; -0.158
 21000;  5.00;-4.0; -0.755; -0.194; -0.103; -0.214; -0.666; -0.111; -0.086; -0.072; -0.158
 22000;  3.00;-4.0; -0.877; -0.226; -0.098; -0.212; -0.687; -0.114; -0.086; -0.080; -0.166
 22000;  3.50;-4.0; -0.839; -0.226; -0.101; -0.217; -0.688; -0.116; -0.087; -0.078; -0.166
 22000;  4.00;-4.0; -0.815; -0.222; -0.103; -0.220; -0.689; -0.117; -0.088; -0.077; -0.165
 22000;  4.50;-4.0; -0.798; -0.214; -0.105; -0.222; -0.691; -0.117; -0.089; -0.076; -0.165
 22000;  5.00;-4.0; -0.788; -0.204; -0.106; -0.223; -0.695; -0.117; -0.089; -0.076; -0.166
 23000;  3.00;-4.0; -0.907; -0.234; -0.102; -0.222; -0.719; -0.120; -0.091; -0.084; -0.175
 23000;  3.50;-4.0; -0.867; -0.235; -0.105; -0.227; -0.718; -0.122; -0.091; -0.082; -0.174
 23000;  4.00;-4.0; -0.843; -0.231; -0.107; -0.229; -0.717; -0.122; -0.092; -0.081; -0.173
 23000;  4.50;-4.0; -0.828; -0.223; -0.109; -0.230; -0.719; -0.121; -0.093; -0.080; -0.173
 23000;  5.00;-4.0; -0.819; -0.214; -0.111; -0.232; -0.722; -0.122; -0.093; -0.080; -0.173
 24000;  3.00;-4.0; -0.936; -0.242; -0.106; -0.232; -0.751; -0.126; -0.096; -0.088; -0.184
 24000;  3.50;-4.0; -0.894; -0.244; -0.110; -0.237; -0.747; -0.127; -0.096; -0.086; -0.182
 24000;  4.00;-4.0; -0.870; -0.239; -0.111; -0.238; -0.746; -0.127; -0.096; -0.085; -0.181
 24000;  4.50;-4.0; -0.855; -0.232; -0.113; -0.239; -0.746; -0.127; -0.096; -0.084; -0.180
 24000;  5.00;-4.0; -0.847; -0.223; -0.114; -0.240; -0.749; -0.126; -0.096; -0.084; -0.180
 25000;  3.00;-4.0; -0.968; -0.249; -0.110; -0.242; -0.784; -0.131; -0.101; -0.093; -0.194
 25000;  3.50;-4.0; -0.919; -0.252; -0.114; -0.246; -0.777; -0.132; -0.100; -0.090; -0.190
 25000;  4.00;-4.0; -0.894; -0.247; -0.115; -0.247; -0.773; -0.132; -0.100; -0.088; -0.188
 25000;  4.50;-4.0; -0.880; -0.240; -0.117; -0.248; -0.773; -0.131; -0.100; -0.087; -0.187
 25000;  5.00;-4.0; -0.872; -0.232; -0.118; -0.249; -0.775; -0.131; -0.100; -0.087; -0.187
 26000;  3.00;-4.0; -1.005; -0.252; -0.112; -0.246; -0.811; -0.135; -0.106; -0.098; -0.203
 26000;  3.50;-4.0; -0.944; -0.259; -0.118; -0.255; -0.806; -0.138; -0.105; -0.094; -0.198
 26000;  4.00;-4.0; -0.918; -0.255; -0.119; -0.256; -0.801; -0.137; -0.104; -0.092; -0.196
 26000;  4.50;-4.0; -0.903; -0.249; -0.120; -0.257; -0.799; -0.136; -0.104; -0.091; -0.195
 26000;  5.00;-4.0; -0.896; -0.240; -0.121; -0.257; -0.801; -0.136; -0.104; -0.091; -0.195
 27000;  3.50;-4.0; -0.970; -0.266; -0.122; -0.264; -0.834; -0.142; -0.109; -0.098; -0.207
 27000;  4.00;-4.0; -0.941; -0.263; -0.123; -0.265; -0.828; -0.142; -0.108; -0.096; -0.204
 27000;  4.50;-4.0; -0.925; -0.256; -0.124; -0.265; -0.825; -0.141; -0.108; -0.095; -0.202
 27000;  5.00;-4.0; -0.918; -0.248; -0.125; -0.265; -0.826; -0.140; -0.107; -0.095; -0.202
 28000;  3.50;-4.0; -0.998; -0.272; -0.124; -0.270; -0.859; -0.146; -0.113; -0.101; -0.214
 28000;  4.00;-4.0; -0.964; -0.270; -0.126; -0.273; -0.854; -0.147; -0.112; -0.099; -0.211
 28000;  4.50;-4.0; -0.947; -0.264; -0.127; -0.273; -0.850; -0.146; -0.111; -0.098; -0.210
 28000;  5.00;-4.0; -0.939; -0.256; -0.128; -0.273; -0.850; -0.145; -0.111; -0.098; -0.209
 29000;  3.50;-4.0; -1.027; -0.276; -0.125; -0.273; -0.875; -0.148; -0.115; -0.104; -0.219
 29000;  4.00;-4.0; -0.987; -0.277; -0.130; -0.280; -0.877; -0.150; -0.116; -0.102; -0.218
 29000;  4.50;-4.0; -0.969; -0.271; -0.131; -0.280; -0.874; -0.150; -0.115; -0.101; -0.216
 29000;  5.00;-4.0; -0.960; -0.263; -0.131; -0.280; -0.873; -0.149; -0.114; -0.101; -0.215
 30000;  3.50;-4.0; -1.053; -0.278; -0.125; -0.274; -0.884; -0.148; -0.116; -0.105; -0.220
 30000;  4.00;-4.0; -1.011; -0.283; -0.132; -0.285; -0.897; -0.154; -0.118; -0.105; -0.223
 30000;  4.50;-4.0; -0.990; -0.278; -0.133; -0.287; -0.895; -0.154; -0.118; -0.104; -0.222
 30000;  5.00;-4.0; -0.981; -0.270; -0.134; -0.287; -0.895; -0.153; -0.117; -0.104; -0.221
 31000;  3.50;-4.0; -1.075; -0.279; -0.125; -0.273; -0.888; -0.148; -0.116; -0.105; -0.221
 31000;  4.00;-4.0; -1.034; -0.287; -0.133; -0.289; -0.911; -0.156; -0.120; -0.107; -0.226
 31000;  4.50;-4.0; -1.012; -0.284; -0.136; -0.293; -0.914; -0.157; -0.120; -0.106; -0.227
 31000;  5.00;-4.0; -1.001; -0.277; -0.137; -0.293; -0.914; -0.156; -0.120; -0.106; -0.226
 32000;  4.00;-4.0; -1.055; -0.291; -0.134; -0.291; -0.922; -0.157; -0.121; -0.108; -0.228
 32000;  4.50;-4.0; -1.033; -0.289; -0.138; -0.297; -0.928; -0.159; -0.122; -0.108; -0.230
 32000;  5.00;-4.0; -1.021; -0.283; -0.139; -0.298; -0.930; -0.159; -0.122; -0.108; -0.230
 33000;  4.00;-4.0; -1.074; -0.293; -0.135; -0.292; -0.929; -0.158; -0.121; -0.109; -0.230
 33000;  4.50;-4.0; -1.052; -0.294; -0.139; -0.300; -0.940; -0.161; -0.123; -0.109; -0.232
 33000;  5.00;-4.0; -1.040; -0.289; -0.141; -0.303; -0.943; -0.162; -0.123; -0.110; -0.233
 34000;  4.00;-4.0; -1.089; -0.294; -0.134; -0.292; -0.931; -0.157; -0.121; -0.109; -0.230
 34000;  4.50;-4.0; -1.069; -0.298; -0.140; -0.302; -0.948; -0.162; -0.123; -0.110; -0.234
 34000;  5.00;-4.0; -1.058; -0.294; -0.143; -0.306; -0.954; -0.163; -0.124; -0.111; -0.235
 35000;  4.00;-4.0; -1.102; -0.295; -0.133; -0.289; -0.929; -0.156; -0.121; -0.109; -0.230
 35000;  4.50;-4.0; -1.084; -0.300; -0.140; -0.303; -0.953; -0.163; -0.124; -0.111; -0.234
 35000;  5.00;-4.0; -1.073; -0.298; -0.144; -0.308; -0.962; -0.165; -0.124; -0.112; -0.236
 37500;  4.50;-4.0; -1.111; -0.303; -0.138; -0.299; -0.949; -0.161; -0.122; -0.111; -0.233
 37500;  5.00;-4.0; -1.103; -0.304; -0.143; -0.308; -0.967; -0.165; -0.124; -0.112; -0.236
 40000;  4.50;-4.0; -1.126; -0.306; -0.137; -0.296; -0.944; -0.159; -0.121; -0.110; -0.231
 40000;  5.00;-4.0; -1.122; -0.308; -0.142; -0.305; -0.961; -0.163; -0.123; -0.112; -0.235
 42500;  5.00;-4.0; -1.133; -0.311; -0.142; -0.304; -0.961; -0.162; -0.123; -0.112; -0.235
 45000;  5.00;-4.0; -1.140; -0.315; -0.143; -0.306; -0.967; -0.164; -0.123; -0.114; -0.237
 47500;  5.00;-4.0; -1.147; -0.319; -0.144; -0.309; -0.974; -0.165; -0.124; -0.115; -0.239
 50000;  5.00;-4.0; -1.152; -0.322; -0.145; -0.313; -0.983; -0.167; -0.125; -0.116; -0.241
  3500;  0.00;-4.5;  1.386;  2.130;  1.645;  3.398;  5.988;  1.753;  0.719;  0.362;  1.081
  3500;  0.50;-4.5;  1.181;  2.027;  1.554;  3.249;  5.709;  1.695;  0.679;  0.370;  1.049
  3500;  1.00;-4.5;  1.030;  1.898;  1.448;  3.078;  5.366;  1.629;  0.591;  0.389;  0.980
  3500;  1.50;-4.5;  0.955;  1.813;  1.374;  2.958;  5.141;  1.584;  0.534;  0.403;  0.936
  3500;  2.00;-4.5;  0.912;  1.762;  1.330;  2.886;  5.037;  1.556;  0.525;  0.405;  0.930
  3500;  2.50;-4.5;  0.921;  1.745;  1.305;  2.844;  4.989;  1.538;  0.533;  0.403;  0.935
  3500;  3.00;-4.5;  1.327;  1.898;  1.206;  2.333;  4.057;  1.127;  0.585;  0.249;  0.834
  3750;  0.00;-4.5;  1.300;  1.923;  1.323;  2.549;  4.648;  1.225;  0.682;  0.283;  0.965
  3750;  0.50;-4.5;  1.234;  1.850;  1.260;  2.440;  4.471;  1.180;  0.661;  0.291;  0.952
  3750;  1.00;-4.5;  1.125;  1.754;  1.191;  2.323;  4.290;  1.132;  0.639;  0.300;  0.939
  3750;  1.50;-4.5;  0.983;  1.642;  1.123;  2.209;  4.086;  1.086;  0.588;  0.315;  0.903
  3750;  2.00;-4.5;  0.854;  1.544;  1.069;  2.120;  3.906;  1.052;  0.523;  0.334;  0.858
  3750;  2.50;-4.5;  0.783;  1.486;  1.037;  2.069;  3.817;  1.032;  0.499;  0.342;  0.841
  3750;  3.00;-4.5;  1.017;  1.555;  0.944;  1.874;  3.505;  0.930;  0.520;  0.234;  0.755
  3750;  3.50;-4.5;  1.039;  1.565;  0.942;  1.864;  3.497;  0.923;  0.524;  0.232;  0.757
  4000;  0.00;-4.5;  1.094;  1.641;  1.018;  1.942;  3.759;  0.924;  0.640;  0.207;  0.847
  4000;  0.50;-4.5;  1.001;  1.559;  0.966;  1.853;  3.633;  0.887;  0.631;  0.214;  0.844
  4000;  1.00;-4.5;  0.902;  1.479;  0.919;  1.774;  3.519;  0.855;  0.615;  0.222;  0.837
  4000;  1.50;-4.5;  0.800;  1.405;  0.878;  1.706;  3.417;  0.828;  0.595;  0.232;  0.827
  4000;  2.00;-4.5;  0.678;  1.320;  0.838;  1.640;  3.313;  0.803;  0.569;  0.243;  0.813
  4000;  2.50;-4.5;  0.578;  1.259;  0.812;  1.598;  3.207;  0.786;  0.517;  0.260;  0.777
  4000;  3.00;-4.5;  0.684;  1.300;  0.784;  1.582;  2.959;  0.798;  0.455;  0.223;  0.678
  4000;  3.50;-4.5;  0.653;  1.284;  0.776;  1.568;  2.925;  0.792;  0.439;  0.228;  0.667
  4000;  4.00;-4.5;  0.662;  1.294;  0.774;  1.564;  2.915;  0.790;  0.435;  0.229;  0.664
  4250;  0.00;-4.5;  0.878;  1.387;  0.839;  1.588;  3.154;  0.749;  0.592;  0.176;  0.768
  4250;  0.50;-4.5;  0.767;  1.308;  0.800;  1.524;  3.073;  0.723;  0.591;  0.180;  0.771
  4250;  1.00;-4.5;  0.658;  1.238;  0.767;  1.470;  3.003;  0.703;  0.584;  0.187;  0.770
  4250;  1.50;-4.5;  0.558;  1.177;  0.740;  1.426;  2.942;  0.686;  0.572;  0.195;  0.767
  4250;  2.00;-4.5;  0.471;  1.126;  0.718;  1.392;  2.891;  0.673;  0.557;  0.204;  0.761
  4250;  2.50;-4.5;  0.387;  1.078;  0.700;  1.363;  2.845;  0.663;  0.540;  0.213;  0.752
  4250;  3.00;-4.5;  0.392;  1.113;  0.635;  1.304;  2.714;  0.669;  0.456;  0.190;  0.646
  4250;  3.50;-4.5;  0.361;  1.101;  0.632;  1.299;  2.668;  0.667;  0.418;  0.203;  0.621
  4250;  4.00;-4.5;  0.346;  1.099;  0.631;  1.297;  2.638;  0.666;  0.393;  0.212;  0.604
  4250;  4.50;-4.5;  0.343;  1.104;  0.630;  1.295;  2.621;  0.665;  0.380;  0.215;  0.595
  4500;  0.00;-4.5;  0.706;  1.224;  0.651;  1.283;  2.753;  0.632;  0.515;  0.131;  0.646
  4500;  0.50;-4.5;  0.594;  1.158;  0.623;  1.238;  2.708;  0.615;  0.520;  0.133;  0.653
  4500;  1.00;-4.5;  0.489;  1.102;  0.602;  1.204;  2.669;  0.602;  0.520;  0.137;  0.657
  4500;  1.50;-4.5;  0.399;  1.057;  0.585;  1.178;  2.636;  0.593;  0.515;  0.142;  0.657
  4500;  2.00;-4.5;  0.325;  1.023;  0.573;  1.160;  2.609;  0.587;  0.505;  0.149;  0.654
  4500;  2.50;-4.5;  0.269;  0.998;  0.564;  1.146;  2.586;  0.582;  0.493;  0.157;  0.650
  4500;  3.00;-4.5;  0.229;  0.982;  0.559;  1.138;  2.563;  0.580;  0.476;  0.166;  0.642
  4500;  3.50;-4.5;  0.203;  0.973;  0.557;  1.136;  2.540;  0.579;  0.455;  0.174;  0.629
  4500;  4.00;-4.5;  0.199;  0.978;  0.560;  1.141;  2.512;  0.580;  0.424;  0.185;  0.609
  4500;  4.50;-4.5;  0.200;  0.984;  0.563;  1.145;  2.489;  0.582;  0.399;  0.194;  0.593
  4500;  5.00;-4.5;  0.206;  0.993;  0.566;  1.148;  2.472;  0.582;  0.381;  0.200;  0.581
  4750;  0.00;-4.5;  0.506;  1.008;  0.533;  1.054;  2.411;  0.520;  0.481;  0.118;  0.599
  4750;  0.50;-4.5;  0.400;  0.955;  0.515;  1.026;  2.392;  0.511;  0.492;  0.118;  0.610
  4750;  1.00;-4.5;  0.304;  0.914;  0.502;  1.006;  2.376;  0.504;  0.496;  0.121;  0.616
  4750;  1.50;-4.5;  0.224;  0.883;  0.493;  0.991;  2.362;  0.499;  0.495;  0.124;  0.619
  4750;  2.00;-4.5;  0.160;  0.861;  0.486;  0.982;  2.350;  0.496;  0.491;  0.128;  0.619
  4750;  2.50;-4.5;  0.113;  0.847;  0.482;  0.976;  2.339;  0.494;  0.484;  0.134;  0.618
  4750;  3.00;-4.5;  0.082;  0.837;  0.479;  0.972;  2.330;  0.493;  0.474;  0.140;  0.614
  4750;  3.50;-4.5;  0.064;  0.835;  0.479;  0.972;  2.318;  0.493;  0.460;  0.147;  0.608
  4750;  4.00;-4.5;  0.064;  0.842;  0.483;  0.978;  2.301;  0.495;  0.440;  0.156;  0.595
  4750;  4.50;-4.5;  0.066;  0.847;  0.486;  0.983;  2.286;  0.497;  0.420;  0.163;  0.583
  4750;  5.00;-4.5;  0.074;  0.857;  0.490;  0.989;  2.269;  0.499;  0.399;  0.171;  0.570
  5000;  0.00;-4.5;  0.308;  0.814;  0.465;  0.928;  2.120;  0.464;  0.441;  0.104;  0.544
  5000;  0.50;-4.5;  0.213;  0.778;  0.453;  0.913;  2.120;  0.459;  0.455;  0.103;  0.558
  5000;  1.00;-4.5;  0.128;  0.750;  0.446;  0.902;  2.119;  0.457;  0.463;  0.104;  0.566
  5000;  1.50;-4.5;  0.054;  0.729;  0.441;  0.897;  2.118;  0.456;  0.466;  0.106;  0.572
  5000;  2.00;-4.5; -0.004;  0.717;  0.439;  0.895;  2.117;  0.456;  0.466;  0.109;  0.574
  5000;  2.50;-4.5; -0.048;  0.709;  0.438;  0.894;  2.116;  0.456;  0.463;  0.112;  0.575
  5000;  3.00;-4.5; -0.078;  0.706;  0.438;  0.894;  2.113;  0.456;  0.457;  0.117;  0.574
  5000;  3.50;-4.5; -0.096;  0.705;  0.438;  0.895;  2.109;  0.457;  0.450;  0.122;  0.571
  5000;  4.00;-4.5; -0.102;  0.710;  0.440;  0.898;  2.101;  0.458;  0.438;  0.127;  0.566
  5000;  4.50;-4.5; -0.097;  0.719;  0.444;  0.904;  2.089;  0.460;  0.421;  0.134;  0.556
  5000;  5.00;-4.5; -0.083;  0.733;  0.449;  0.913;  2.076;  0.464;  0.401;  0.142;  0.544
  5250;  0.00;-4.5;  0.176;  0.657;  0.416;  0.845;  1.923;  0.429;  0.411;  0.095;  0.506
  5250;  0.50;-4.5;  0.094;  0.633;  0.412;  0.840;  1.938;  0.428;  0.429;  0.092;  0.521
  5250;  1.00;-4.5;  0.017;  0.617;  0.409;  0.837;  1.949;  0.428;  0.440;  0.092;  0.532
  5250;  1.50;-4.5; -0.051;  0.606;  0.408;  0.836;  1.958;  0.429;  0.446;  0.093;  0.539
  5250;  2.00;-4.5; -0.107;  0.601;  0.407;  0.837;  1.965;  0.430;  0.449;  0.095;  0.544
  5250;  2.50;-4.5; -0.151;  0.599;  0.408;  0.840;  1.970;  0.432;  0.450;  0.097;  0.547
  5250;  3.00;-4.5; -0.184;  0.599;  0.409;  0.843;  1.973;  0.433;  0.448;  0.099;  0.548
  5250;  3.50;-4.5; -0.206;  0.601;  0.411;  0.845;  1.974;  0.435;  0.445;  0.103;  0.547
  5250;  4.00;-4.5; -0.219;  0.605;  0.412;  0.849;  1.971;  0.436;  0.438;  0.106;  0.545
  5250;  4.50;-4.5; -0.221;  0.613;  0.415;  0.853;  1.965;  0.438;  0.428;  0.111;  0.540
  5250;  5.00;-4.5; -0.215;  0.623;  0.418;  0.858;  1.955;  0.440;  0.414;  0.117;  0.531
  5500;  0.00;-4.5;  0.106;  0.538;  0.369;  0.761;  1.694;  0.392;  0.352;  0.087;  0.439
  5500;  0.50;-4.5;  0.040;  0.526;  0.368;  0.762;  1.719;  0.393;  0.373;  0.083;  0.456
  5500;  1.00;-4.5; -0.028;  0.519;  0.369;  0.764;  1.739;  0.396;  0.387;  0.081;  0.468
  5500;  1.50;-4.5; -0.091;  0.516;  0.371;  0.769;  1.756;  0.398;  0.396;  0.081;  0.477
  5500;  2.00;-4.5; -0.147;  0.516;  0.373;  0.774;  1.770;  0.401;  0.402;  0.082;  0.484
  5500;  2.50;-4.5; -0.195;  0.519;  0.375;  0.779;  1.781;  0.404;  0.406;  0.083;  0.489
  5500;  3.00;-4.5; -0.232;  0.522;  0.377;  0.783;  1.789;  0.406;  0.408;  0.084;  0.492
  5500;  3.50;-4.5; -0.261;  0.526;  0.379;  0.787;  1.795;  0.409;  0.408;  0.086;  0.494
  5500;  4.00;-4.5; -0.281;  0.530;  0.381;  0.792;  1.797;  0.411;  0.405;  0.088;  0.493
  5500;  4.50;-4.5; -0.291;  0.537;  0.383;  0.796;  1.795;  0.413;  0.399;  0.091;  0.491
  5500;  5.00;-4.5; -0.293;  0.545;  0.386;  0.801;  1.790;  0.414;  0.391;  0.095;  0.486
  5750;  0.00;-4.5;  0.088;  0.397;  0.297;  0.634;  1.457;  0.336;  0.307;  0.065;  0.372
  5750;  0.50;-4.5;  0.006;  0.437;  0.318;  0.666;  1.500;  0.348;  0.316;  0.069;  0.386
  5750;  1.00;-4.5; -0.052;  0.438;  0.322;  0.674;  1.526;  0.352;  0.332;  0.067;  0.399
  5750;  1.50;-4.5; -0.111;  0.441;  0.326;  0.682;  1.549;  0.356;  0.344;  0.066;  0.409
  5750;  2.00;-4.5; -0.166;  0.446;  0.329;  0.690;  1.568;  0.360;  0.353;  0.065;  0.418
  5750;  2.50;-4.5; -0.217;  0.453;  0.333;  0.697;  1.585;  0.364;  0.359;  0.065;  0.424
  5750;  3.00;-4.5; -0.260;  0.459;  0.336;  0.703;  1.598;  0.367;  0.364;  0.066;  0.429
  5750;  3.50;-4.5; -0.295;  0.465;  0.339;  0.709;  1.608;  0.370;  0.366;  0.066;  0.433
  5750;  4.00;-4.5; -0.323;  0.470;  0.341;  0.714;  1.614;  0.373;  0.367;  0.067;  0.434
  5750;  4.50;-4.5; -0.342;  0.476;  0.343;  0.718;  1.617;  0.375;  0.366;  0.068;  0.434
  5750;  5.00;-4.5; -0.353;  0.484;  0.345;  0.723;  1.615;  0.378;  0.361;  0.071;  0.431
  6000;  0.00;-4.5;  0.106;  0.306;  0.239;  0.522;  1.292;  0.283;  0.271;  0.060;  0.331
  6000;  0.50;-4.5;  0.059;  0.325;  0.252;  0.545;  1.333;  0.293;  0.287;  0.058;  0.344
  6000;  1.00;-4.5; -0.022;  0.374;  0.276;  0.584;  1.376;  0.308;  0.291;  0.064;  0.355
  6000;  1.50;-4.5; -0.076;  0.387;  0.284;  0.597;  1.403;  0.313;  0.303;  0.063;  0.366
  6000;  2.00;-4.5; -0.129;  0.397;  0.289;  0.608;  1.428;  0.319;  0.314;  0.062;  0.376
  6000;  2.50;-4.5; -0.182;  0.406;  0.295;  0.619;  1.450;  0.324;  0.323;  0.061;  0.384
  6000;  3.00;-4.5; -0.230;  0.415;  0.299;  0.628;  1.468;  0.328;  0.330;  0.060;  0.391
  6000;  3.50;-4.5; -0.273;  0.423;  0.302;  0.635;  1.483;  0.332;  0.336;  0.060;  0.396
  6000;  4.00;-4.5; -0.308;  0.430;  0.305;  0.641;  1.494;  0.336;  0.340;  0.060;  0.400
  6000;  4.50;-4.5; -0.336;  0.437;  0.308;  0.646;  1.501;  0.339;  0.341;  0.060;  0.401
  6000;  5.00;-4.5; -0.356;  0.444;  0.310;  0.651;  1.503;  0.341;  0.340;  0.061;  0.400
  6250;  0.50;-4.5;  0.104;  0.254;  0.201;  0.444;  1.121;  0.243;  0.241;  0.048;  0.290
  6250;  1.00;-4.5;  0.055;  0.284;  0.218;  0.474;  1.161;  0.256;  0.251;  0.050;  0.300
  6250;  1.50;-4.5; -0.026;  0.336;  0.243;  0.516;  1.204;  0.273;  0.253;  0.057;  0.309
  6250;  2.00;-4.5; -0.077;  0.354;  0.251;  0.530;  1.233;  0.279;  0.265;  0.055;  0.320
  6250;  2.50;-4.5; -0.129;  0.367;  0.258;  0.544;  1.258;  0.285;  0.275;  0.054;  0.329
  6250;  3.00;-4.5; -0.180;  0.379;  0.265;  0.556;  1.282;  0.291;  0.285;  0.052;  0.337
  6250;  3.50;-4.5; -0.229;  0.389;  0.269;  0.566;  1.302;  0.296;  0.293;  0.051;  0.344
  6250;  4.00;-4.5; -0.272;  0.398;  0.273;  0.574;  1.318;  0.301;  0.299;  0.049;  0.349
  6250;  4.50;-4.5; -0.308;  0.405;  0.276;  0.580;  1.329;  0.304;  0.304;  0.048;  0.352
  6250;  5.00;-4.5; -0.337;  0.413;  0.279;  0.586;  1.336;  0.308;  0.305;  0.048;  0.353
  6500;  0.50;-4.5;  0.131;  0.177;  0.154;  0.352;  0.912;  0.198;  0.192;  0.039;  0.232
  6500;  1.00;-4.5;  0.101;  0.216;  0.169;  0.377;  0.950;  0.208;  0.202;  0.039;  0.242
  6500;  1.50;-4.5;  0.052;  0.251;  0.187;  0.408;  0.988;  0.222;  0.208;  0.042;  0.250
  6500;  2.00;-4.5; -0.033;  0.305;  0.214;  0.453;  1.034;  0.240;  0.211;  0.048;  0.260
  6500;  2.50;-4.5; -0.086;  0.326;  0.223;  0.471;  1.065;  0.248;  0.223;  0.047;  0.270
  6500;  3.00;-4.5; -0.139;  0.340;  0.231;  0.486;  1.092;  0.255;  0.234;  0.045;  0.278
  6500;  3.50;-4.5; -0.191;  0.353;  0.237;  0.499;  1.116;  0.262;  0.244;  0.043;  0.286
  6500;  4.00;-4.5; -0.241;  0.364;  0.242;  0.510;  1.137;  0.267;  0.252;  0.040;  0.293
  6500;  4.50;-4.5; -0.285;  0.373;  0.246;  0.519;  1.153;  0.272;  0.260;  0.038;  0.298
  6500;  5.00;-4.5; -0.323;  0.381;  0.250;  0.526;  1.165;  0.277;  0.264;  0.037;  0.301
  6750;  0.50;-4.5;  0.149;  0.119;  0.113;  0.275;  0.722;  0.162;  0.145;  0.034;  0.179
  6750;  1.00;-4.5;  0.146;  0.148;  0.127;  0.299;  0.763;  0.172;  0.156;  0.033;  0.189
  6750;  1.50;-4.5;  0.112;  0.191;  0.143;  0.327;  0.799;  0.184;  0.163;  0.034;  0.198
  6750;  2.00;-4.5;  0.059;  0.230;  0.163;  0.362;  0.836;  0.199;  0.167;  0.038;  0.205
  6750;  2.50;-4.5; -0.028;  0.282;  0.189;  0.407;  0.885;  0.218;  0.173;  0.044;  0.216
  6750;  3.00;-4.5; -0.084;  0.304;  0.199;  0.426;  0.916;  0.227;  0.185;  0.041;  0.225
  6750;  3.50;-4.5; -0.139;  0.319;  0.207;  0.443;  0.945;  0.235;  0.195;  0.038;  0.234
  6750;  4.00;-4.5; -0.193;  0.332;  0.214;  0.457;  0.970;  0.242;  0.206;  0.035;  0.241
  6750;  4.50;-4.5; -0.245;  0.343;  0.220;  0.468;  0.991;  0.248;  0.215;  0.032;  0.247
  6750;  5.00;-4.5; -0.291;  0.352;  0.224;  0.478;  1.007;  0.254;  0.222;  0.030;  0.252
  7000;  0.50;-4.5;  0.132;  0.076;  0.075;  0.200;  0.580;  0.125;  0.113;  0.029;  0.142
  7000;  1.00;-4.5;  0.150;  0.089;  0.085;  0.218;  0.617;  0.133;  0.123;  0.027;  0.151
  7000;  1.50;-4.5;  0.143;  0.122;  0.100;  0.243;  0.653;  0.144;  0.132;  0.027;  0.159
  7000;  2.00;-4.5;  0.104;  0.168;  0.118;  0.275;  0.690;  0.157;  0.137;  0.031;  0.168
  7000;  2.50;-4.5;  0.040;  0.211;  0.139;  0.313;  0.731;  0.174;  0.141;  0.035;  0.176
